user_name,user_id,video_id,video_desc,video_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
washingtonpost,6665748878039842822,6959638120841153798,Agents with the California Department of Alcoholic Beverage Control arrested 59-year-old bar owner Todd Anderson with three felony crimes. #vaxcard,1620417026,12,https://www.tiktok.com/@washingtonpost/video/6959638120841153798?lang=en,19100,45,104,262600
washingtonpost,6665748878039842822,6959568091420314885,The Biden admin proposed a new rule that once again protects birds from industry and individuals that fail to take proper precautions. @birdsarentreal,1620400721,28,https://www.tiktok.com/@washingtonpost/video/6959568091420314885?lang=en,10400,70,135,43300
washingtonpost,6665748878039842822,6959243279049198854,"Watch out, @angelnmendoza !!",1620325095,14,https://www.tiktok.com/@washingtonpost/video/6959243279049198854?lang=en,16800,213,145,72200
washingtonpost,6665748878039842822,6959189474643332357,"Hey guys, it’s Carl. I’m filling in for Dave today. #FirstCaption #CicadaIntern",1620312577,22,https://www.tiktok.com/@washingtonpost/video/6959189474643332357?lang=en,6595,48,97,35800
washingtonpost,6665748878039842822,6958929145510366470,Confirmed: The Bidens aren’t giants.  #photography #widelens,1620251956,29,https://www.tiktok.com/@washingtonpost/video/6958929145510366470?lang=en,207200,2598,1058,1300000
washingtonpost,6665748878039842822,6958834815189781765,The board agreed that Trump’s comments on the day of the insurrection “created an environment where a serious risk of violence was possible.”,1620229993,26,https://www.tiktok.com/@washingtonpost/video/6958834815189781765?lang=en,10800,82,100,56000
washingtonpost,6665748878039842822,6958501615284391174,Our polling shows 16 percent of Americans “will definitely not” get vaccinated. More in the comments. #herdimmunity,1620152420,13,https://www.tiktok.com/@washingtonpost/video/6958501615284391174?lang=en,36000,442,1052,167600
washingtonpost,6665748878039842822,6958453898768108805,"The Yahoo Answers message board shut down Tuesday, May 4th after 15 years. Let’s look back on the classics.",1620141312,20,https://www.tiktok.com/@washingtonpost/video/6958453898768108805?lang=en,63000,2256,645,274100
washingtonpost,6665748878039842822,6958157730225884421,Florida Republicans rushed to curb mail voting after Trump’s attacks on the practice. Now some fear it could lower GOP turnout. #absenteeballot,1620072346,23,https://www.tiktok.com/@washingtonpost/video/6958157730225884421?lang=en,6978,48,88,40700
washingtonpost,6665748878039842822,6958104961557204229,"Major rental car operators last year sold off more than 770,000 cars as the pandemic crushed demand and kept Americans home. #RentalCars",1620060060,27,https://www.tiktok.com/@washingtonpost/video/6958104961557204229?lang=en,22900,555,148,145100
washingtonpost,6665748878039842822,6957059205371071750,"As soils warm, trillions of cicadas will emerge throughout the D.C. area for the first time in 17 years. #BroodX",1619816575,34,https://www.tiktok.com/@washingtonpost/video/6957059205371071750?lang=en,35700,1508,440,155800
washingtonpost,6665748878039842822,6956987818140830982,"In its latest software updates, Apple is forcing apps to first ask before collecting personal information on your phone or tablet. #privacy",1619799955,23,https://www.tiktok.com/@washingtonpost/video/6956987818140830982?lang=en,36700,854,292,242800
